destination_id,destination_name,destination_type,destination_lon,destination_lat,destination_nearest_station,destination_connector_distance_m,destination_connector_time_min,time_min,rail_km,horse_km,total_km
City:Aleksandrów (Łódzki),Aleksandrów (Łódzki),City,19.304444,51.819444,Zgierz,8990.950125310432,134.86425187965648,1068.8573388933803,244.4695228009394,10.519386286240433,254.98890908717982
City:Aleksandrów Kujawski,Aleksandrów Kujawski,City,18.693333,52.876389,Aleksandrów Kujawski,260.1995018554135,3.902992527831202,1277.7055391960412,335.65172780822655,1.7886356627854145,337.440363471012
City:Andrychów,Andrychów,City,19.341111,49.855,Wadowice,11336.391902347968,170.04587853521952,1344.479944791813,308.9878522311094,12.86482806327797,321.85268029438737
City:Augustów,Augustów,City,22.9775,53.843611,Augustów,3347.348334089875,50.21022501134813,1361.1529520645681,345.61767621153746,4.875784495019876,350.4934607065573
City:Baranowicze,Baranowicze,City,25.983333,53.116667,Baranowicze,1862.8208264332914,27.942312396499368,1257.0755078715663,323.6654519047331,3.3912569873632923,327.0567088920964
City:Baranów (Sandomierski),Baranów (Sandomierski),City,21.541389,50.499722,Ocice,10964.684323262802,164.470264848942,912.5443374873435,194.5812539435611,12.493120484192803,207.0743744277539
City:Barcin,Barcin,City,17.947222,52.863889,Barcin,1373.7923281307208,20.60688492196081,1446.3662495222059,376.42680728665596,2.9022284890607217,379.32903577571665
City:Barysz,Barysz,City,25.266667,49.033333,Buczacz,8413.73640725819,126.20604610887284,1984.848155178522,492.58367705261253,9.942172568188191,502.52584962080067
City:Beresteczko,Beresteczko,City,25.116667,50.35,Sienkiewiczówka,20763.370199021178,311.45055298531764,1615.0100035640241,343.63649702420963,22.291806359951178,365.9283033841608
City:Bereza Kartuska,Bereza Kartuska,City,24.966667,52.55,Bereza Kartuska,4945.738829600886,74.18608244401328,929.7993726681999,223.43761066241356,6.474174990530887,229.91178565294445
City:Bereźne,Bereźne,City,26.739444,50.996667,Kostopol,25053.365065797723,375.8004759869658,1882.3595923032522,398.108073997127,26.581801226727723,424.68987522385476
City:Bełchatów,Bełchatów,City,19.362222,51.363611,Piotrków Trybunalski,23376.113516025518,350.64170274038275,1336.248531514377,258.3192101732785,24.90454967695552,283.22375985023405
City:Bełz,Bełz,City,24.0,50.366667,Krystynopol,17312.72709902653,259.69090648539793,1476.8723099911458,320.4583877262991,18.84116325995653,339.2995509862556
City:Biała Krakowska (dziś część Bielska-Białej),Biała Krakowska (dziś część Bielska-Białej),City,19.050833,49.823333,Bielsko Biała,835.6583084940621,12.534874627410932,1289.2664214449899,336.4376761816404,2.3640944694240633,338.8017706510645
City:Biała Podlaska,Biała Podlaska,City,23.116667,52.033333,Biała Podlaska,1860.80272202286,27.9120408303429,371.49517082825946,86.04285100169771,3.389238882952861,89.43208988465058
City:Biała Rawska,Biała Rawska,City,20.471944,51.8075,Biała Rawska,590.0603724378936,8.850905586568405,981.0074073121385,254.71003908195144,2.1184965333678947,256.8285356153193
City:Białystok,Białystok,City,23.145556,53.135278,Białystok,675.6835126246932,10.135252689370397,822.3019698946428,211.77944690233815,2.204119673554694,213.98356657589287
City:Biecz,Biecz,City,21.2625,49.731944,Gorlice Zagórzany,6400.376092935139,96.0056413940271,1364.694888541973,334.2796591036222,7.92881225386514,342.2084713574873
City:Bielsk Podlaski,Bielsk Podlaski,City,23.191944,52.768333,Bielsk Podlaski,751.0347836924836,11.265521755387255,683.2453787003432,174.16263939915328,2.2794709446224846,176.44211034377574
City:Bielsko (dziś część Bielska-Białej),Bielsko (dziś część Bielska-Białej),City,19.042717,49.821194,Bielsko Biała,959.4415802372463,14.391623703558695,1291.1231705211376,336.4376761816404,2.4878777411672472,338.9255539228077
City:Bieruń Stary,Bieruń Stary,City,19.091537,50.090995,Lędziny,6296.681284023811,94.45021926035716,1224.8262591111104,297.1656151455422,7.825117444953812,304.990732590496
City:Biłgoraj,Biłgoraj,City,22.721944,50.540833,Biłgoraj,1439.7148819649462,21.595723229474192,852.2123562012466,216.7301742996824,2.9681510428949474,219.69832534257736
City:Bnin (Kórnik),Bnin (Kórnik),City,17.096111,52.231389,Zaniemyśl,9598.228358447299,143.97342537670949,1840.1698636327774,448.9940887176349,11.1266645193773,460.1207532370122
City:Bobrek (dziś część Cieszyna),Bobrek (dziś część Cieszyna),City,18.651944,49.755556,Cieszyn,1183.8321649539157,17.757482474308734,1410.6087991594545,367.5964810961042,2.712268325883917,370.30874942198807
City:Bochnia,Bochnia,City,20.43,49.968889,Bochnia,937.2997543947359,14.05949631592104,1159.284579242464,301.1501083708791,2.465735915324737,303.6158442862038
City:Bogumin,Bogumin,City,18.354444,49.903611,Bogumin,438.69034678217133,6.58035520173257,1419.9025184942986,373.0894916024286,1.9671265077121725,375.0566181101408
City:Bogumin Nowy,Bogumin Nowy,City,18.357778,49.903611,Bogumin,295.43056841561514,4.431458526234227,1417.7536218188004,373.0894916024286,1.8238667293456163,374.91335833177425
City:Bohorodczany,Bohorodczany,City,24.533333,48.8,Chryplin,18326.495617035762,274.89743425553644,1940.9918314644515,440.91670770331564,19.85493177796576,460.7716394812814
City:Bojanowo,Bojanowo,City,16.749444,51.707222,Bojanowo,912.0581534911233,13.680872302366849,1743.0186731206045,457.8870210051505,2.4404943144211244,460.3275153195716
City:Bolechów,Bolechów,City,23.866667,49.05,Dolina,11419.607093534807,171.29410640302208,1746.2042391804794,416.4489300808744,12.948043254464809,429.3969733353392
City:Borek,Borek,City,17.243056,51.916389,Piaski Wielkopolskie,12711.720556726445,190.67580835089666,1867.101056662225,443.68881941579644,14.240156717656445,457.9289761334529
City:Borszczów,Borszczów,City,26.05,48.8,Teresin,5897.81619195316,88.4672428792974,2183.0507139703805,521.9928621029378,15.849046661477667,537.8419087644155
City:Borysław,Borysław,City,23.4175,49.281944,Borysław,1853.3841752183555,27.80076262827533,1437.5272102849467,372.12464124013025,3.3818203361483565,375.50646157627864
City:Boćki,Boćki,City,23.044722,52.651389,Bielsk Podlaski,15648.87574769552,234.73313621543278,906.7129931603887,174.16263939915328,17.17731190862552,191.3399513077788
City:Bołszowce,Bołszowce,City,24.746389,49.185556,Halicz,5479.874196782776,82.19811295174165,1645.2127265694473,413.2569657730078,7.008310357712777,420.26527613072057
City:Brasław,Brasław,City,27.061389,55.643333,Brasław,1145.3577157689601,17.1803657365344,2288.705035846943,603.3738309318829,2.673793876698961,606.0476248085819
City:Brańsk,Brańsk,City,22.833333,52.745556,Bielsk Podlaski,23965.85119232504,359.48776788487555,1031.4676248298315,174.16263939915328,25.49428735325504,199.6569267524083
City:Brodnica,Brodnica,City,19.395556,53.259722,Brodnica,812.6248567093986,12.189372850640979,1176.1817023516692,306.1859862016994,2.3410610176394,308.52704721933884
City:Brody,Brody,City,25.143889,50.084444,Brody,1171.6212986157805,17.574319479236706,1538.6556807128231,402.0048763832691,2.7000574595457816,404.70493384281485
City:Brok,Brok,City,21.859722,52.7,Małkinia,11855.351982178401,177.83027973267602,657.2676997663696,122.49708549463121,13.383788143108402,135.8808736377396
City:Brzesko,Brzesko,City,20.606389,49.968889,Bochnia,12548.22954320783,188.22344314811744,1333.4485260746603,301.1501083708791,14.076665704137831,315.2267740750169
City:Brzeziny,Brzeziny,City,19.751389,51.800278,Koluszki,7722.677914237705,115.84016871356557,959.9402864551521,220.34824271291575,9.251114075167706,229.59935678808347
City:Brześć Kujawski,Brześć Kujawski,City,18.898056,52.605,Brześć Kujawski,0.0,0.0,1163.7757313671832,306.12786570245095,1.528436160930001,307.656301863381
City:Brześć nad Bugiem,Brześć nad Bugiem,City,23.679281,52.100594,Brześć nad Bugiem,84.62669012315054,1.2694003518472579,489.8289197177657,124.94484881544489,1.6130628510531517,126.55791166649804
City:Brzeżany,Brzeżany,City,24.9431,49.441228,Potutory,5515.251811704412,82.72877717556618,1614.3118506758578,404.8228358415017,7.043687972634413,411.8665238141361
City:Brzostek,Brzostek,City,21.4103,49.879708,Jasło,15934.820830628028,239.02231245942042,1457.3400236669136,320.7632969596008,17.463256991558026,338.2265539511588
City:Brzozów,Brzozów,City,22.019444,49.695278,Krosno,19202.819970293833,288.04229955440746,1580.2271354133782,340.5843087410806,20.731256131223834,361.3155648723044
City:Buczacz,Buczacz,City,25.4,49.05,Buczacz,2256.914987769253,33.853724816538794,1892.4958338861877,492.58367705261253,3.7853511486992537,496.3690282013118
City:Budzanów,Budzanów,City,25.705556,49.163889,Trembowla,14998.784794147352,224.98177191221026,2003.6605899299354,471.1268606203464,16.52722095507735,487.65408157542373
City:Budzyń,Budzyń,City,16.988611,52.889444,Chodzież,12783.747945335077,191.75621918002614,1902.838015959077,452.98832658796886,14.312184106265079,467.30051069423394
City:Buk,Buk,City,16.5175,52.356667,Sędziny,7479.979491688167,112.1996923753225,1855.170004735198,461.5450782688233,9.008415652618169,470.5534939214415
City:Bursztyn,Bursztyn,City,24.630561,49.2635,Halicz,15904.356554640199,238.56534831960298,1801.5799619373086,413.2569657730078,17.432792715570198,430.689758488578
City:Busk,Busk,City,24.613611,49.966111,Krasne,5485.220162350495,82.27830243525743,1448.369224161208,360.4157751153868,7.013656323280497,367.4294314386673
City:Busko (dziś Busko-Zdrój),Busko (dziś Busko-Zdrój),City,20.718889,50.470556,Wiślica,13940.195879709643,209.10293819564464,1088.0388914905886,226.29538637495128,16.31346985714866,242.60885623209992
City:Bydgoszcz,Bydgoszcz,City,18.011111,53.125,Bydgoszcz,801.5502371079717,12.023253556619576,1428.6213742666648,373.968540176119,2.3299863980379727,376.298526574157
City:Bóbrka (Ukraina),Bóbrka (Ukraina),City,24.293944,49.638222,Kurowice,16481.058362608066,247.215875439121,1564.6453439320467,347.35828516452517,18.009494523538066,365.3677796880632
City:Będzin,Będzin,City,19.129167,50.323889,Będzin,1854.593004461762,27.818895066926427,1089.7153286594005,278.790254132904,3.383029165391763,282.17328329829576
City:Błaszki,Błaszki,City,18.433333,51.651944,Opatówek,18037.14513977327,270.55717709659905,1713.7267625280151,381.09854987635333,19.565581300703272,400.6641311770566
City:Błażowa,Błażowa,City,22.099444,49.883333,Dynów,13290.590705812578,199.35886058718867,1221.1728274727,268.03479223320227,14.819026866742579,282.8538190999448
City:Błonie,Błonie,City,20.616944,52.196667,Błonie,1295.1226872462862,19.426840308694292,601.0180526933909,149.90835310881707,2.823558848176287,152.73191195699337
City:Chełm,Chełm,City,23.477778,51.132222,Chełm,1509.4365485383867,22.6415482280758,620.7191052267019,154.33218891355477,3.0378727094683877,157.37006162302316
