District,Polish,% Polish,Ukrainian,% Ukrainian,Ruthenian,% Ruthenian,Belarusian,% Belarusian,Russian,% Russian,German,% German,Jewish,% Jewish,Hebrew,% Hebrew,Other and unknown: total,% Other: total,Minorities total (excluding Polish nationality),% Minorities total
AUGUSTOWSKI,68674.0,0.918703429,38.0,0.000508354,26.0,0.000347821,104.0,0.001391286,1478.0,0.019772311,45.0,0.000601999,4140.0,0.055383874,91.0,0.001217375,155.0,0.002073551,6077.0,0.081296571
BIAŁOSTOCKI,116709.0,0.833171519,62.0,0.000442611,46.0,0.000328388,9632.0,0.06876169,1833.0,0.013085567,642.0,0.004583161,8710.0,0.062179643,2204.0,0.015734091,240.0,0.001713331,23369.0,0.166828481
BIELSKI (BIELSK PODLASKI),111377.0,0.550254434,1777.0,0.008779211,302.0,0.001492021,57817.0,0.285643002,12539.0,0.06194852,85.0,0.00041994,16365.0,0.080850748,1896.0,0.009367126,252.0,0.001244998,91033.0,0.449745566
GRODZIEŃSKI,101089.0,0.474362404,151.0,0.000708571,60.0,0.000281551,63731.0,0.299059149,6101.0,0.02862908,153.0,0.000717956,31822.0,0.14932545,3532.0,0.016573989,6466.0,0.03034185,112016.0,0.525637596
ŁOMŻYŃSKI,146308.0,0.870016115,74.0,0.000440039,2.0,1.18929e-05,47.0,0.000279484,82.0,0.000487611,299.0,0.001777994,20472.0,0.121736131,731.0,0.004346869,152.0,0.000903863,21859.0,0.129983885
OSTROŁĘCKI,104341.0,0.926758862,50.0,0.000444101,2.0,1.7764e-05,14.0,0.000124348,35.0,0.000310871,5.0,4.44101e-05,7855.0,0.069768268,158.0,0.001403359,127.0,0.001128017,8246.0,0.073241138
OSTROWSKI (OSTRÓW MAZOWIECKA),85925.0,0.861481236,45.0,0.000451169,3.0,3.00779e-05,21.0,0.000210545,39.0,0.000391013,1391.0,0.01394612,10435.0,0.104620968,1792.0,0.017966533,90.0,0.000902337,13816.0,0.138518764
SOKÓLSKI,92816.0,0.899946672,28.0,0.000271489,28.0,0.000271489,1606.0,0.015571823,501.0,0.004857711,3.0,2.90881e-05,6581.0,0.06380957,1552.0,0.015048238,20.0,0.000193921,10319.0,0.100053328
SUWALSKI,85707.0,0.778277215,207.0,0.001879699,263.0,0.002388217,36.0,0.000326904,6253.0,0.056781446,2627.0,0.023854927,6921.0,0.062847336,1105.0,0.010034143,7005.0,0.063610112,24417.0,0.221722785
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),60935.0,0.893278604,19.0,0.000278531,4.0,5.86381e-05,28.0,0.000410467,89.0,0.001304698,18.0,0.000263872,6011.0,0.088118449,899.0,0.01317892,212.0,0.003107821,7280.0,0.106721396
WOŁKOWYSKI,83111.0,0.485101589,63.0,0.000367718,22.0,0.000128409,71984.0,0.420155609,2839.0,0.016570651,59.0,0.000344371,10375.0,0.060556713,2707.0,0.015800195,167.0,0.000974744,88216.0,0.514898411
WYSOKOMAZOWIECKI,78881.0,0.885278835,31.0,0.000347912,2.0,2.24459e-05,52.0,0.000583594,96.0,0.001077405,15.0,0.000168345,8990.0,0.10089447,801.0,0.008989596,235.0,0.002637397,10222.0,0.114721165
BIAŁYSTOK (MIASTO),46386.0,0.50917114,87.0,0.000954984,13.0,0.000142699,518.0,0.005685997,3263.0,0.035817389,1948.0,0.021382861,33487.0,0.367581036,5303.0,0.058210118,96.0,0.001053775,44715.0,0.49082886
BĘDZIŃSKI,199763.0,0.863615927,42.0,0.000181575,10.0,4.3232e-05,31.0,0.000134019,98.0,0.000423674,88.0,0.000380442,28228.0,0.122035364,2309.0,0.009982275,741.0,0.003203493,31547.0,0.136384073
CZĘSTOCHOWSKI,175305.0,0.960754332,22.0,0.00012057,1.0,5.48047e-06,14.0,7.67266e-05,16.0,8.76876e-05,532.0,0.002915612,6465.0,0.035431258,26.0,0.000142492,85.0,0.00046584,7161.0,0.039245668
IŁŻECKI,148225.0,0.928041924,46.0,0.000288008,7.0,4.38272e-05,9.0,5.63493e-05,38.0,0.000237919,572.0,0.003581312,9961.0,0.06236617,839.0,0.005253008,21.0,0.000131482,11493.0,0.071958076
JĘDRZEJOWSKI,100617.81870415653,0.923841547037154,22.127449263334444,0.0002035275170779,0.0398278947920139,2.576625825674552e-07,3.007965578958403,2.76929324368577e-05,12.119483684376045,0.0001113379869511,3.071690210625625,2.810519185206352e-05,8790.864524279601,0.0808603102188201,248.9987206371182,0.0022832472930205,66.22303621083528,0.0006095529088692,9146.452697759642,0.0841240319212489
KIELECKI,192238.0,0.876610259,147.0,0.000670324,16.0,7.29604e-05,14.0,6.38404e-05,160.0,0.000729604,731.0,0.003333379,24882.0,0.113462564,987.0,0.004500746,122.0,0.000556323,27059.0,0.123389741
KONECKI,157453.0,0.878771474,50.0,0.000279058,0.0,0.0,15.0,8.37175e-05,45.0,0.000251153,113.0,0.000630672,20799.0,0.116082691,651.0,0.00363334,48.0,0.000267896,21721.0,0.121228526
KOZIENICKI,126546.0,0.884275402,57.0,0.000398303,3.0,2.09633e-05,10.0,6.98778e-05,21.0,0.000146743,2498.0,0.01745547,13754.0,0.096109904,130.0,0.000908411,88.0,0.000614924,16561.0,0.115724598
MIECHOWSKI,146561.1812958435,0.9481619239628462,15.872550736665556,0.000102685482922,4.960172105207986,3.208933741743255e-05,0.9920344210415972,6.417857563142299e-06,14.88051631562396,9.626791304885552e-05,8.928309789374374,5.776070814793648e-05,6210.135475720399,0.0401758087811798,498.0012793628818,0.0032217657069794,27.77696378916472,0.0001797000911307,6781.547302240359,0.043872497078751
OLKUSKI,140591.0,0.926592807,27.0,0.000177949,5.0,3.29535e-05,6.0,3.95442e-05,16.0,0.000105451,68.0,0.000448167,10593.0,0.069815263,267.0,0.001759716,156.0,0.001028149,11138.0,0.073407193
OPATOWSKI,161840.0,0.867556165,56.0,0.000300192,7.0,3.75241e-05,13.0,6.96875e-05,36.0,0.000192981,11.0,5.89664e-05,23209.0,0.124413687,1297.0,0.006952671,78.0,0.000418125,24707.0,0.132443835
OPOCZYŃSKI,120629.0,0.924190187,67.0,0.000513316,0.0,0.0,3.0,2.29843e-05,6.0,4.59686e-05,1144.0,0.008764672,8519.0,0.06526769,121.0,0.000927033,35.0,0.00026815,9895.0,0.075809813
PIŃCZOWSKI,113643.0,0.901227617,42.0,0.000333074,1.0,7.93034e-06,2.0,1.58607e-05,7.0,5.55124e-05,9.0,7.13731e-05,12184.0,0.096623261,149.0,0.001181621,61.0,0.000483751,12455.0,0.098772383
RADOMSKI,142241.0,0.945455875,22.0,0.000146231,3.0,1.99406e-05,5.0,3.32343e-05,13.0,8.64092e-05,979.0,0.006507275,6925.0,0.046029499,211.0,0.001402487,48.0,0.000319049,8206.0,0.054544125
SANDOMIERSKI,108608.0,0.880400772,23.0,0.000186443,3.0,2.43187e-05,5.0,4.05311e-05,56.0,0.000453949,142.0,0.001151084,13649.0,0.110641851,767.0,0.006217474,109.0,0.000883578,14754.0,0.119599228
STOPNICKI,135791.0,0.886995317,52.0,0.000339667,3.0,1.95962e-05,0.0,0.0,15.0,9.79809e-05,203.0,0.001326009,16034.0,0.104735092,952.0,0.006218524,41.0,0.000267815,17300.0,0.113004683
WŁOSZCZOWSKI,93131.0,0.925691055,31.0,0.00030813,0.0,0.0,5.0,4.96983e-05,3.0,2.9819e-05,424.0,0.004214418,6817.0,0.067758705,142.0,0.001411433,54.0,0.000536742,7476.0,0.074308945
ZAWIERCIAŃSKI,120660.0,0.920555721,22.0,0.000167845,0.0,0.0,4.0,3.05173e-05,33.0,0.000251768,43.0,0.000328061,9594.0,0.073195853,424.0,0.003234839,293.0,0.002235396,10413.0,0.079444279
CZĘSTOCHOWA (MIASTO),92429.0,0.78878468,64.0,0.000546173,0.0,0.0,4.0,3.41358e-05,92.0,0.000785124,82.0,0.000699784,23852.0,0.203551831,366.0,0.003123427,290.0,0.002474846,24750.0,0.21121532
SOSNOWIEC,89202.0,0.818674914,52.0,0.000477244,4.0,3.67111e-05,5.0,4.58888e-05,180.0,0.001651998,167.0,0.001532687,18314.0,0.168081572,878.0,0.008058077,157.0,0.001440909,19757.0,0.181325086
RADOM (MIASTO),52767.0,0.677351031,43.0,0.000551976,0.0,0.0,2.0,2.56733e-05,83.0,0.001065441,120.0,0.001540397,24389.0,0.313072835,452.0,0.005802162,46.0,0.000590485,25135.0,0.322648969
BIALSKI (BIAŁA KRAKOWSKA),127089.0,0.913474739,16.0,0.000115003,32.0,0.000230006,2.0,1.43754e-05,6.0,4.31261e-05,5922.0,0.042565426,5409.0,0.038878147,523.0,0.003759155,128.0,0.000920023,12038.0,0.086525261
BOCHEŃSKI,109717.0,0.964205993,55.0,0.000483347,20.0,0.000175762,4.0,3.51525e-05,8.0,7.03049e-05,116.0,0.001019422,3741.0,0.032876351,106.0,0.000931541,23.0,0.000202127,4073.0,0.035794007
BRZESKI (BRZESKO),100251.0,0.980680062,14.0,0.000136951,6.0,5.86935e-05,1.0,9.78225e-06,4.0,3.9129e-05,11.0,0.000107605,1721.0,0.016835247,173.0,0.001692329,45.0,0.000440201,1975.0,0.019319938
CHRZANOWSKI,127078.0,0.920448208,66.0,0.00047805,22.0,0.00015935,6.0,4.34591e-05,20.0,0.000144864,166.0,0.001202367,9694.0,0.07021534,741.0,0.005367193,268.0,0.001941171,10983.0,0.079551792
DĄBROWSKI,62620.0,0.939140346,15.0,0.000224962,10.0,0.000149975,2.0,2.99949e-05,0.0,0.0,1.0,1.49975e-05,3580.0,0.053690873,436.0,0.006538888,14.0,0.000209964,4058.0,0.060859654
GORLICKI,76266.0,0.727694289,211.0,0.002013263,24670.0,0.235389533,2.0,1.90831e-05,20.0,0.000190831,20.0,0.000190831,3295.0,0.03143934,213.0,0.002032346,108.0,0.001030485,28539.0,0.272305711
JASIELSKI,103935.0,0.894865084,81.0,0.000697398,7354.0,0.06331686,2.0,1.72197e-05,7.0,6.0269e-05,11.0,9.47084e-05,4114.0,0.035420936,494.0,0.004253267,148.0,0.001274258,12211.0,0.105134916
KRAKOWSKI,185567.0,0.989643164,48.0,0.000255988,49.0,0.000261321,17.0,9.06623e-05,4.0,2.13323e-05,102.0,0.000543974,1222.0,0.006517021,347.0,0.001850578,153.0,0.000815961,1942.0,0.010356836
KRAKÓW (MIASTO),171206.0,0.0,683.0,0.0,241.0,0.0,21.0,0.0,115.0,0.0,740.0,0.0,23340.0,0.0,22488.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,85238.0,0.976615222,11.0,0.000126033,18.0,0.000206235,4.0,4.583e-05,2.0,2.2915e-05,7.0,8.02026e-05,1901.0,0.021780726,50.0,0.000572875,48.0,0.00054996,2041.0,0.023384778
MIELECKI,71272.0,0.920054218,24.0,0.000309817,24.0,0.000309817,1.0,1.29091e-05,1.0,1.29091e-05,667.0,0.00861034,5172.0,0.066765636,269.0,0.003472536,35.0,0.000451817,6193.0,0.079945782
MYŚLENICKI,101878.0,0.992073384,11.0,0.000107116,5.0,4.86893e-05,4.0,3.89514e-05,1.0,9.73786e-06,8.0,7.79029e-05,661.0,0.006436723,109.0,0.001061426,15.0,0.000146068,814.0,0.007926616
NOWOSĄDECKI,148329.0,0.806718987,586.0,0.003187086,23666.0,0.128712602,3.0,1.63161e-05,20.0,0.000108774,708.0,0.003850609,9975.0,0.054251171,307.0,0.001669685,273.0,0.001484769,35538.0,0.193281013
NOWOTARSKI,123877.0,0.956660411,81.0,0.000625536,2075.0,0.016024527,3.0,2.3168e-05,32.0,0.000247125,79.0,0.00061009,2072.0,0.016001359,499.0,0.003853609,771.0,0.005954174,5612.0,0.043339589
ROPCZYCKI,105700.0,0.952896101,39.0,0.000351589,21.0,0.000189317,1.0,9.0151e-06,6.0,5.40906e-05,14.0,0.000126211,4242.0,0.038242055,859.0,0.007743971,43.0,0.000387649,5225.0,0.047103899
TARNOWSKI,124817.0,0.876739367,63.0,0.000442524,39.0,0.000273944,2.0,1.40484e-05,7.0,4.91694e-05,50.0,0.00035121,15257.0,0.107168194,2050.0,0.014399607,80.0,0.000561936,17548.0,0.123260633
WADOWICKI,142852.0,0.984215567,29.0,0.000199803,24.0,0.000165354,3.0,2.06693e-05,5.0,3.44488e-05,89.0,0.000613188,1745.0,0.012022626,325.0,0.002239171,71.0,0.000489173,2291.0,0.015784433
ŻYWIECKI,129747.0,0.990820854,16.0,0.000122185,3.0,2.29097e-05,2.0,1.52731e-05,2.0,1.52731e-05,221.0,0.00168768,672.0,0.005131769,243.0,0.001855684,43.0,0.000328372,1202.0,0.009179146
